order_id,order_date,planned_delivery,actual_delivery,release,client,region,destination,origin,cargo_type,transport_type,distance_km,weight_kg,revenue,cost_fuel,cost_driver,cost_warehouse,cost_tolls,cost_other,total_cost,profit,status,on_time,in_full,otif
LH-10001,2024-01-01,2024-01-03,2024-01-03,v1.0,ООО «ПримТорг»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Продукты питания,Рефрижератор,449,3333.2,52563.97,19751.75,6822.02,2273.32,1259.1,389.94,30496.13,22067.84,Доставлен,1,1,1
LH-10002,2024-01-01,2024-01-03,2024-01-03,v1.0,ООО «Модный Дом»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Электроника,Газель,371,443.8,17070.86,5015.85,7967.77,632.9,1153.35,936.77,15706.64,1364.22,Доставлен,1,1,1
LH-10003,2024-01-01,2024-01-05,2024-01-05,v1.0,ООО «ПримТорг»,Сахалинская область,Южно-Сахалинск,Комсомольск-на-Амуре,Одежда и обувь,Фура,1675,2953.3,135985.27,65258.39,12867.6,1802.79,4476.81,652.54,85058.13,50927.14,Доставлен,1,0,0
LH-10004,2024-01-02,2024-01-05,2024-01-05,v1.0,ООО «ТехноДВ»,Приморский край,Владивосток,Комсомольск-на-Амуре,Продукты питания,Рефрижератор,820,5021.4,88667.58,35337.39,11914.84,2557.0,1669.04,312.05,51790.32,36877.26,Доставлен,1,0,0
LH-10005,2024-01-02,2024-01-04,2024-01-04,v1.0,ООО «АмурСтрой»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Медикаменты,Рефрижератор,372,221.4,50598.95,16077.0,7437.22,514.2,926.76,478.42,25433.6,25165.35,Доставлен,1,1,1
LH-10006,2024-01-02,2024-01-05,2024-01-05,v1.0,ООО «ПримТорг»,Приморский край,Владивосток,Комсомольск-на-Амуре,Продукты питания,Рефрижератор,821,4103.2,92030.4,32162.68,11594.95,2513.75,2291.71,1327.31,49890.4,42140.0,Доставлен,1,1,1
LH-10007,2024-01-02,2024-01-05,2024-01-05,v1.0,ООО «Модный Дом»,Амурская область,Благовещенск,Комсомольск-на-Амуре,Продукты питания,Рефрижератор,1229,2148.2,121814.67,50976.98,11324.16,1588.45,3828.6,1406.87,69125.06,52689.61,Доставлен,1,0,0
LH-10008,2024-01-02,2024-01-06,2024-01-09,v1.0,ООО «ХабЭлектро»,Амурская область,Благовещенск,Комсомольск-на-Амуре,Одежда и обувь,Фура,1445,2476.6,114973.56,55727.87,28667.26,1305.11,2773.82,18490.71,106964.77,8008.79,Доставлен,0,1,0
LH-10009,2024-01-02,2024-01-05,2024-01-05,v1.0,ООО «ДВ Логистик»,Амурская область,Благовещенск,Комсомольск-на-Амуре,Мебель,Фура,1048,4355.8,101578.61,40347.54,10755.79,2830.57,1977.9,735.2,56647.0,44931.61,Доставлен,1,0,0
LH-10010,2024-01-03,2024-01-05,2024-01-05,v1.0,ООО «ДальФуд»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Продукты питания,Рефрижератор,313,2106.6,37396.96,14054.08,7473.45,1208.58,893.23,591.26,24220.6,13176.36,Доставлен,1,1,1
LH-10011,2024-01-03,2024-01-06,2024-01-06,v1.0,ООО «Модный Дом»,Амурская область,Благовещенск,Комсомольск-на-Амуре,Медикаменты,Газель,1464,734.0,63757.72,20809.01,12370.84,726.92,2675.22,446.39,37028.38,26729.34,Доставлен,1,1,1
LH-10012,2024-01-03,2024-01-05,2024-01-05,v1.0,ООО «ДВ Логистик»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Стройматериалы,Контейнер (ж/д),482,12083.7,35895.92,10421.85,7122.47,6090.86,0.0,639.43,24274.61,11621.31,Доставлен,1,1,1
LH-10013,2024-01-04,2024-01-06,2024-01-06,v1.0,АО «ВостокМед»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Медикаменты,Газель,470,791.4,23603.3,6472.21,6787.64,779.9,1416.95,1418.18,16874.88,6728.42,Доставлен,1,1,1
LH-10014,2024-01-04,2024-01-07,2024-01-07,v1.0,ООО «АптекаПлюс»,Приморский край,Владивосток,Комсомольск-на-Амуре,Одежда и обувь,Фура,868,2498.5,71377.96,33951.59,10662.22,1338.37,1848.55,1386.9,49187.63,22190.33,Доставлен,1,1,1
LH-10015,2024-01-04,2024-01-07,2024-01-07,v1.0,ООО «ХабЭлектро»,Приморский край,Владивосток,Комсомольск-на-Амуре,Одежда и обувь,Газель,967,1035.5,37262.99,12298.75,12378.84,971.9,2604.63,1456.9,29711.02,7551.97,Доставлен,1,0,0
LH-10016,2024-01-04,2024-01-06,2024-01-06,v1.0,ООО «ПримТорг»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Стройматериалы,Фура,468,7609.6,44679.79,19210.13,6957.01,4651.62,959.43,1412.38,33190.57,11489.22,Доставлен,1,1,1
LH-10017,2024-01-04,2024-01-07,2024-01-07,v1.0,ООО «ДальФуд»,Приморский край,Владивосток,Комсомольск-на-Амуре,Мебель,Фура,1020,5488.6,101434.59,35997.57,9884.52,2486.3,3178.74,656.93,52204.06,49230.53,Доставлен,1,1,1
LH-10018,2024-01-04,2024-01-08,,v1.0,ООО «ХабЭлектро»,Амурская область,Благовещенск,Комсомольск-на-Амуре,Медикаменты,Газель,1650,919.5,0.0,0.0,0.0,936.0,0.0,901.77,1837.77,-1837.77,Отменён,0,0,0
LH-10019,2024-01-04,2024-01-06,2024-01-07,v1.0,ООО «ПримТорг»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Стройматериалы,Фура,384,12008.9,38713.41,14491.45,12164.78,5653.43,1203.05,2468.7,35981.41,2732.0,Доставлен,0,1,0
LH-10020,2024-01-05,2024-01-09,2024-01-09,v1.0,ООО «ТехноДВ»,Сахалинская область,Южно-Сахалинск,Комсомольск-на-Амуре,Электроника,Фура,1578,2201.4,144023.02,60666.64,15929.1,1591.45,3577.79,1459.29,83224.27,60798.75,Доставлен,1,1,1
LH-10021,2024-01-05,2024-01-07,2024-01-07,v1.0,ООО «АмурСтрой»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Стройматериалы,Фура,339,6022.9,33347.3,13980.61,8230.41,3764.93,846.21,919.28,27741.44,5605.86,Доставлен,1,1,1
LH-10022,2024-01-07,2024-01-09,2024-01-09,v1.0,ООО «АптекаПлюс»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Продукты питания,Фура,352,19523.5,49420.78,13262.4,7771.33,8716.68,985.24,567.48,31303.13,18117.65,Доставлен,1,1,1
LH-10023,2024-01-07,2024-01-09,2024-01-09,v1.0,АО «СахалинСнаб»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Продукты питания,Фура,422,4867.8,41040.99,16250.28,7264.26,3270.26,984.9,305.3,28075.0,12965.99,Доставлен,1,1,1
LH-10024,2024-01-08,2024-01-12,2024-01-12,v1.0,ООО «МебельГрад»,Сахалинская область,Южно-Сахалинск,Комсомольск-на-Амуре,Стройматериалы,Фура,1592,9275.6,126660.41,60792.13,14772.01,5225.45,3273.34,713.74,84776.67,41883.74,Доставлен,1,1,1
LH-10025,2024-01-08,2024-01-11,2024-01-12,v1.0,ООО «Модный Дом»,Сахалинская область,Южно-Сахалинск,Комсомольск-на-Амуре,Медикаменты,Газель,1222,525.7,56430.41,16601.84,15919.29,642.11,2596.92,4104.06,39864.22,16566.19,Доставлен,0,1,0
LH-10026,2024-01-08,2024-01-11,2024-01-11,v1.0,ООО «ДВ Логистик»,Приморский край,Владивосток,Комсомольск-на-Амуре,Стройматериалы,Фура,1146,16087.9,95185.97,42017.14,11520.0,6555.6,2519.96,439.03,63051.73,32134.24,Доставлен,1,0,0
LH-10027,2024-01-08,2024-01-11,2024-01-11,v1.0,ООО «ПримТорг»,Приморский край,Владивосток,Комсомольск-на-Амуре,Одежда и обувь,Газель,1096,321.7,42516.31,14541.46,10066.89,590.73,2506.18,1142.76,28848.02,13668.29,Доставлен,1,1,1
LH-10028,2024-01-08,2024-01-12,2024-01-12,v1.0,АО «ВостокМед»,Амурская область,Благовещенск,Комсомольск-на-Амуре,Стройматериалы,Фура,1445,11875.4,116667.75,53004.48,16184.04,6215.7,3549.63,768.43,79722.28,36945.47,Доставлен,1,1,1
LH-10029,2024-01-09,2024-01-13,2024-01-13,v1.0,ИП Ковалёв,Амурская область,Благовещенск,Комсомольск-на-Амуре,Медикаменты,Рефрижератор,1377,844.0,165060.19,58284.47,13723.4,886.38,4018.74,690.45,77603.44,87456.75,Доставлен,1,0,0
LH-10030,2024-01-09,2024-01-12,2024-01-12,v1.0,ИП Ковалёв,Амурская область,Благовещенск,Комсомольск-на-Амуре,Электроника,Газель,1317,596.1,54005.04,17849.99,12290.57,697.13,2864.62,1016.26,34718.57,19286.47,Доставлен,1,1,1
LH-10031,2024-01-09,2024-01-11,2024-01-14,v1.0,ИП Ковалёв,Еврейская АО,Биробиджан,Комсомольск-на-Амуре,Медикаменты,Рефрижератор,594,2747.2,81003.51,26012.44,18934.17,1668.83,1682.82,12630.76,60929.02,20074.49,Доставлен,0,1,0
LH-10032,2024-01-10,2024-01-12,2024-01-12,v1.0,ИП Ковалёв,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Продукты питания,Фура,438,4999.1,44091.18,17205.88,8289.37,2973.56,1246.21,855.53,30570.55,13520.63,Доставлен,1,1,1
LH-10033,2024-01-10,2024-01-12,2024-01-12,v1.0,АО «ВостокМед»,Еврейская АО,Биробиджан,Комсомольск-на-Амуре,Электроника,Газель,528,604.3,24990.98,6856.07,7339.02,726.44,1556.8,1162.71,17641.04,7349.94,Доставлен,1,0,0
LH-10034,2024-01-10,2024-01-12,2024-01-14,v1.0,ИП Ковалёв,Еврейская АО,Биробиджан,Комсомольск-на-Амуре,Стройматериалы,Фура,491,3825.3,41313.63,18307.7,16138.56,1781.65,1453.54,4506.21,42187.66,-874.03,Доставлен,0,1,0
